date,usdt_close,krw_close,usdkrw,usd_ffill,greed,greed_ffill,kimchi_pct
2020-05-28,0.2005,243.0,1233.7,False,41.0,False,-1.761362177760606
2020-05-29,0.1977,240.0,1239.4,False,48.0,False,-2.05256202337859
2020-05-30,0.2072,247.0,1237.6,True,48.0,False,-3.677687291132647
2020-05-31,0.2024,245.0,1237.6,True,51.0,False,-2.1917979718491076
2020-06-01,0.2112,250.0,1237.6,False,50.0,False,-4.35422420716537
2020-06-02,0.203,246.0,1227.8,False,56.0,False,-1.3012982490208436
2020-06-03,0.2043,247.0,1224.1,False,48.0,False,-1.233039523618562
2020-06-04,0.2045,247.0,1216.9,False,54.0,False,-0.7458327816422416
2020-06-05,0.2027,245.0,1217.4,False,53.0,False,-0.7160520422951344
2020-06-06,0.2037,245.0,1213.1,True,54.0,False,-0.8532568713650268
2020-06-07,0.2034,245.0,1213.1,True,54.0,False,-0.7070227369570081
2020-06-08,0.2041,244.0,1213.1,False,53.0,False,-1.4514544816182862
2020-06-09,0.2014,241.0,1204.2,False,52.0,False,-0.62916172080274
2020-06-10,0.2029,241.0,1197.7,False,54.0,False,-0.8284854168287836
2020-06-11,0.1881,226.0,1194.4,False,52.0,False,0.5934837499683931
2020-06-12,0.1932,232.0,1192.8,False,38.0,False,0.6730514210174787
2020-06-13,0.1922,231.0,1206.6,True,38.0,False,-0.3917579224773537
2020-06-14,0.19,229.0,1206.6,True,40.0,False,-0.1107941409964508
2020-06-15,0.1922,232.0,1206.6,False,37.0,False,0.0394465886807582
2020-06-16,0.1923,230.0,1210.8,False,39.0,False,-1.2183810774961557
2020-06-17,0.1929,234.0,1206.6,False,38.0,False,0.5357006139637965
2020-06-18,0.1897,230.0,1214.5,False,40.0,False,-0.1695598323977254
2020-06-19,0.187,228.0,1213.0,False,39.0,False,0.515361656916391
2020-06-20,0.1878,228.0,1212.0,True,38.0,False,0.1697613850841994
2020-06-21,0.186,224.0,1212.0,True,37.0,False,-0.6352248128038585
2020-06-22,0.1892,227.0,1212.0,False,38.0,False,-1.0075426147265976
2020-06-23,0.1889,226.0,1213.2,False,41.0,False,-1.3847501028478535
2020-06-24,0.1833,222.0,1210.1,False,50.0,False,0.0850587749507747
2020-06-25,0.1814,219.0,1202.9,False,43.0,False,0.3638487400395629
2020-06-26,0.1824,220.0,1205.2,False,40.0,False,0.0780244670754104
2020-06-27,0.175,213.0,1198.6,True,43.0,False,1.5470429787132869
2020-06-28,0.1768,213.0,1198.6,True,40.0,False,0.5131929936358581
2020-06-29,0.1772,212.0,1198.6,False,41.0,False,-0.184526793674622
2020-06-30,0.1752,210.0,1200.7,False,44.0,False,-0.172388024793757
2020-07-01,0.1764,212.0,1198.5,False,42.0,False,0.2765172262758408
2020-07-02,0.1749,209.0,1201.6,False,42.0,False,-0.5518846988082804
2020-07-03,0.1762,211.0,1201.0,False,41.0,False,-0.2911875366819694
2020-07-04,0.1781,212.0,1200.4,True,40.0,False,-0.8378453672844621
2020-07-05,0.1769,211.0,1200.4,True,38.0,False,-0.6360985004244868
2020-07-06,0.1887,224.0,1200.4,False,40.0,False,-1.1105112992719213
2020-07-07,0.1851,219.0,1196.8,False,43.0,False,-1.1410221964135436
2020-07-08,0.2056,243.0,1192.9,False,44.0,False,-0.9215680454361608
2020-07-09,0.2029,241.0,1195.8,False,44.0,False,-0.6709123463253253
2020-07-10,0.1991,237.0,1194.5,False,41.0,False,-0.3468727734411425
2020-07-11,0.2013,239.0,1202.4,True,44.0,False,-1.257263581794854
2020-07-12,0.2014,239.0,1202.4,True,41.0,False,-1.3062917528068652
2020-07-13,0.1987,237.0,1202.4,False,43.0,False,-0.8023208741048338
2020-07-14,0.1992,237.0,1200.3,False,43.0,False,-0.8781941060919451
2020-07-15,0.1974,236.0,1206.4,False,44.0,False,-0.9000292932794807
2020-07-16,0.1946,233.0,1200.7,False,43.0,False,-0.2808485046963405
2020-07-17,0.1945,232.0,1204.1,False,41.0,False,-0.9382894647230412
2020-07-18,0.2001,238.0,1205.7,True,44.0,False,-1.3514723935204145
2020-07-19,0.1998,237.0,1205.7,True,41.0,False,-1.6184634497647732
2020-07-20,0.1946,233.0,1205.7,False,44.0,False,-0.6943806913733974
2020-07-21,0.1997,236.0,1203.7,False,44.0,False,-1.8216616276079731
2020-07-22,0.2039,241.0,1198.1,False,50.0,False,-1.3478059240355944
2020-07-23,0.2087,247.0,1193.7,False,55.0,False,-0.853061065402505
2020-07-24,0.2043,243.0,1198.5,False,53.0,False,-0.7570035231263761
2020-07-25,0.215,253.0,1201.3,True,55.0,False,-2.0441033841245515
2020-07-26,0.2156,254.0,1201.3,True,55.0,False,-1.9306079514663232
2020-07-27,0.2248,263.0,1201.3,False,58.0,False,-2.611435476335977
